symbol,token_address,coingecko_id,always_watch,exchange,borsa
AKNC,0x5b502e3796385e1e9755d7043b9c945c3accec9c,aave-v3-knc,False,"binance,gate",binance
ALDO,0x9a44fd41566876a39655f74971a3a6ea0a17a454,aave-v3-ldo,False,"binance,gate",binance
ALINK,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,aave-v3-link,False,"binance,gate",binance
ALUSD,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,aave-v3-lusd,False,"binance,gate",binance
AMKR,0x8a458a9dc9048e005d22849f470891b840296619,aave-v3-mkr,False,"binance,gate",binance
ARETH,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,aave-v3-reth,False,"binance,gate",binance
ARPL,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,aave-v3-rpl,False,"binance,gate",binance
ASDAI,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,aave-v3-sdai,False,"binance,gate",binance
ASNX,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,aave-v3-snx,False,"binance,gate",binance
ASTG,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,aave-v3-stg,False,"binance,gate",binance
AUNI,0xf6d2224916ddfbbab6e6bd0d1b7034f4ae0cab18,aave-v3-uni,False,"binance,gate",binance
AUSDC,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,aave-v3-usdc,False,"binance,gate",binance
AUSDT,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,aave-v3-usdt,False,"binance,gate",binance
AWBTC,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,aave-v3-wbtc,False,"binance,gate",binance
AWETH,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,aave-v3-weth,False,"binance,gate",binance
AWSTETH,0x0b925ed163218f6662a35e0f0371ac234f9e9371,aave-v3-wsteth,False,"binance,gate",binance
AWBTC,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,aave-wbtc,False,"binance,gate",binance
AWBTC,0xfc4b8ed459e00e5400be803a9bb3954234fd50e3,aave-wbtc-v1,False,"binance,gate",binance
AWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,aave-weth,False,"binance,gate",binance
AXSUSHI,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,aave-xsushi,False,"binance,gate",binance
AYFI,0x5165d24277cd063f5ac44efd447b27025e888f37,aave-yfi,False,"binance,gate",binance
YVAAVE,0xd9788f3931ede4d5018184e198699dc6d66c1915,aave-yvault,False,"binance,gate",binance
AZRX,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,aave-zrx,False,"binance,gate",binance
AZRX,0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f,aave-zrx-v1,False,"binance,gate",binance
ABDS,0xb56aaac80c931161548a49181c9e000a19489c44,abds-token,False,"binance,gate",binance
ABE,0xb0ed164f6e3c6a4153eeb43bf9674955a259ec45,aboard,False,"binance,gate",binance
ABOND,0xe6828d65bf5023ae1851d90d8783cc821ba7eee1,abond,False,"binance,gate",binance
ACCORD,0x755f57af4c14aabfe5fbc92b27b015dcdbd30c15,accord-ai,False,"binance,gate",binance
STZETA,0xf38feedb0c85c1e1d6864c7513ac646d28bb0cfc,accumulated-finance-staked-zeta,False,"binance,gate",binance
ACE,0xec5483804e637d45cde22fa0869656b64b5ab1ab,acent,False,"binance,gate",binance
TOAD,0xac1d3d7a8878e655cbb063d58e453540641f4117,acid-toad,False,"binance,gate",binance
ACM,0x1bd9abf284e893705104e64b564b414620b722f1,acmfinance,False,"binance,gate",binance
ACQ,0x4bdcb66b968060d9390c1d12bd29734496205581,acquire-fi,False,"binance,gate",binance
ACX,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,across-protocol,False,"binance,gate",binance
ADAPAD,0xdb0170e2d0c1cc1b2e7a90313d9b9afa4f250289,adapad,False,"binance,gate",binance
ADP,0xc314b0e758d5ff74f63e307a86ebfe183c95767b,adappter-token,False,"binance,gate",binance
TFBILL,0xa1f3aca66403d29b909605040c30ae1f1245d14c,adapt3r-digital-treasury-bill-fund,False,"binance,gate",binance
ASW,0x56694577564fdd577a0abb20fe95c1e2756c2a11,adaswap,False,"binance,gate",binance
ADDON,0xa579472f17b6e1b6c5ded2a785067a89ec536ce8,addon-ai,False,"binance,gate",binance
ADX,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,adex,False,"binance,gate",binance
ADO,0xf9902edfca4f49dcaebc335c73aebd82c79c2886,ado-network,False,"binance,gate",binance
AD,0xe973e453977195422b48e1852a207b7ee9c913c7,adreward,False,"binance,gate",binance
RISE,0x89ca762f778c82120c13c79a9bfbdf6e8e663ab4,adrise,False,"binance,gate",binance
ADS,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a,adshares,False,"binance,gate",binance
ADULT,0x565d3902d6a5a2d5ce28ff427423e88933334dd2,adult-playground,False,"binance,gate",binance
AUC,0x87a92428bbc876d463c21c8e51b903f127d9a9f4,advanced-united-continent,False,"binance,gate",binance
AGLD,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,adventure-gold,False,"binance,gate",binance
ADCO,0xb6c3dc857845a713d3531cea5ac546f6767992f4,advertise-coin,False,"binance,gate",binance
AGS,0xdb2f2bcce3efa95eda95a233af45f3e0d4f00e2a,aegis,False,"binance,gate",binance
AEGIS,0x55a8f6c6b3aa58ad6d1f26f6afeded78f32e19f4,aegis-ai,False,"binance,gate",binance
YUSD,0x4274cd7277c7bb0806bd5fe84b9adae466a8da0a,aegis-yusd,False,"binance,gate",binance
ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,aelf,False,"binance,gate",binance
AERGO,0x91af0fbb28aba7e31403cb457106ce79397fd4e6,aergo,False,"binance,gate",binance
ARNX,0x0c37bcf456bc661c14d596683325623076d7e283,aeron,False,"binance,gate",binance
AEG,0xf0187b76be05c1fcaa24f39c0a3aab4434099c4f,aether-games,False,"binance,gate",binance
ATH,0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,aethir,False,"binance,gate",binance
AETHRA,0xaacbc3725e0af980e8aa9df4c4441a625b387a91,aethra-ai,False,"binance,gate",binance
AEVO,0xb528edbef013aff855ac3c50b381f253af13b997,aevo-exchange,False,"binance,gate",binance
ULTRAETHS,0xf0a949b935e367a94cdfe0f2a54892c2bc7b2131,affine-ultraeths-2-0,False,"binance,gate",binance
